# chart=CH-04,source=analyse_03_churn_by_decile.txt,block=1
population_scope,revenue_decile,value_tier,n,churned,churn_rate_pct,churn_index_vs_scope,charge_min,charge_max,arr_at_risk_currency_units,cell_size_flag
opening_base,1,Low,565,23,4.07,0.19,18.25,20.05,5403.60,reportable
opening_base,2,Low,572,22,3.85,0.18,20.05,25.05,5907.60,reportable
opening_base,3,Low,535,81,15.14,0.71,25.05,45.85,36303.60,reportable
opening_base,4,Mid,570,102,17.89,0.84,45.90,58.85,64002.00,reportable
opening_base,5,Mid,588,76,12.93,0.61,58.90,70.35,60363.00,reportable
opening_base,6,Mid,545,152,27.89,1.31,70.35,79.10,136800.60,reportable
opening_base,7,Mid,613,197,32.14,1.51,79.10,85.50,195196.20,reportable
opening_base,8,High,636,188,29.56,1.39,85.50,94.25,203013.00,reportable
opening_base,9,High,670,261,38.96,1.84,94.30,102.60,307440.00,reportable
opening_base,10,High,698,170,24.36,1.15,102.65,118.75,217996.20,reportable
