# chart=CH-08,source=analyse_05_drivers_high_value.txt,block=1
scope_cohort,scope_tier,lens_id,lens_name,segment_value,n,pct_of_scope_population,churned,churn_rate_pct,scope_churn_rate_pct,churn_index_vs_scope,arr_at_risk_currency_units,cell_size_flag
opening_base,High,L1,Contract type,Month-to-Month,894,44.61,488,54.59,30.89,1.77,566313.60,reportable
opening_base,High,L1,Contract type,One Year,521,26.00,100,19.19,30.89,0.62,123038.40,reportable
opening_base,High,L1,Contract type,Two Year,589,29.39,31,5.26,30.89,0.17,39097.20,reportable
opening_base,High,L2,Tenure band,2. First year (4-12m),204,10.18,146,71.57,30.89,2.32,166895.40,reportable
opening_base,High,L2,Tenure band,3. Second year (13-24m),260,12.97,136,52.31,30.89,1.69,155604.00,reportable
opening_base,High,L2,Tenure band,4. Established (25-48m),522,26.05,179,34.29,30.89,1.11,211703.40,reportable
opening_base,High,L2,Tenure band,5. Long tenure (49-72m),1018,50.80,158,15.52,30.89,0.50,194246.40,reportable
opening_base,High,L3,Payment method,Mailed Check,36,1.80,16,44.44,30.89,1.44,18587.40,caveat_required
opening_base,High,L3,Payment method,Bank Withdrawal,1389,69.31,490,35.28,30.89,1.14,576273.60,reportable
opening_base,High,L3,Payment method,Credit Card,579,28.89,113,19.52,30.89,0.63,133588.20,reportable
opening_base,High,L4,Internet type,Cable,74,3.69,36,48.65,30.89,1.57,41412.60,caveat_required
opening_base,High,L4,Internet type,Fiber Optic,1850,92.32,582,31.46,30.89,1.02,685927.20,reportable
opening_base,High,L4,Internet type,DSL,80,3.99,1,1.25,30.89,0.04,1109.40,caveat_required
opening_base,High,L5,Service intensity,2. Light (1-2),42,2.10,20,47.62,30.89,1.54,21005.40,caveat_required
opening_base,High,L5,Service intensity,3. Moderate (3-4),640,31.94,268,41.88,30.89,1.36,300503.40,reportable
opening_base,High,L5,Service intensity,4. Deep (5-8),1322,65.97,331,25.04,30.89,0.81,406940.40,reportable
opening_base,High,L6,Offer held,Offer E,64,3.19,46,71.88,30.89,2.33,52071.60,caveat_required
opening_base,High,L6,Offer held,Offer D,131,6.54,72,54.96,30.89,1.78,81879.00,reportable
opening_base,High,L6,Offer held,Offer C,134,6.69,50,37.31,30.89,1.21,59014.20,reportable
opening_base,High,L6,Offer held,No offer,1082,53.99,354,32.72,30.89,1.06,416741.40,reportable
opening_base,High,L6,Offer held,Offer B,337,16.82,66,19.58,30.89,0.63,80041.80,reportable
opening_base,High,L6,Offer held,Offer A,256,12.77,31,12.11,30.89,0.39,38701.20,reportable
opening_base,High,L7,Referral behaviour,Has not referred,884,44.11,341,38.57,30.89,1.25,398958.60,reportable
opening_base,High,L7,Referral behaviour,Has referred,1120,55.89,278,24.82,30.89,0.80,329490.60,reportable
