DROP VIEW
CREATE VIEW
COMMENT
 population_scope | value_tier | contract_type  |     segment_label     |  n   | churned | churn_rate_pct | arr_at_risk_currency_units | long_distance_at_risk_currency_units | rank_by_churn_rate | rank_by_arr_at_risk | divergence_index | share_of_scope_arr_at_risk_pct | churn_index_vs_scope | scope_churn_rate_pct | cell_size_flag | scope_order 
------------------+------------+----------------+-----------------------+------+---------+----------------+----------------------------+--------------------------------------+--------------------+---------------------+------------------+--------------------------------+----------------------+----------------------+----------------+-------------
 opening_base     | High       | Month-to-Month | High / Month-to-Month |  894 |     488 |          54.59 |                  566313.60 |                            151286.76 |                  1 |                   1 |                0 |                          45.95 |                 2.57 |                21.23 | reportable     |           1
 opening_base     | Mid        | Month-to-Month | Mid / Month-to-Month  | 1182 |     466 |          39.42 |                  406459.20 |                            128954.88 |                  2 |                   2 |                0 |                          32.98 |                 1.86 |                21.23 | reportable     |           1
 opening_base     | High       | One Year       | High / One Year       |  521 |     100 |          19.19 |                  123038.40 |                             30912.60 |                  4 |                   3 |                1 |                           9.98 |                 0.90 |                21.23 | reportable     |           1
 opening_base     | Low        | Month-to-Month | Low / Month-to-Month  |  531 |     106 |          19.96 |                   40717.80 |                             15078.48 |                  3 |                   4 |               -1 |                           3.30 |                 0.94 |                21.23 | reportable     |           1
 opening_base     | Mid        | One Year       | Mid / One Year        |  561 |      49 |           8.73 |                   40378.20 |                             14266.08 |                  5 |                   5 |                0 |                           3.28 |                 0.41 |                21.23 | reportable     |           1
 opening_base     | High       | Two Year       | High / Two Year       |  589 |      31 |           5.26 |                   39097.20 |                              9878.76 |                  6 |                   6 |                0 |                           3.17 |                 0.25 |                21.23 | reportable     |           1
 opening_base     | Mid        | Two Year       | Mid / Two Year        |  573 |      12 |           2.09 |                    9524.40 |                              3422.52 |                  8 |                   7 |                1 |                           0.77 |                 0.10 |                21.23 | reportable     |           1
 opening_base     | Low        | One Year       | Low / One Year        |  442 |      15 |           3.39 |                    5535.00 |                              1969.56 |                  7 |                   8 |               -1 |                           0.45 |                 0.16 |                21.23 | reportable     |           1
 opening_base     | Low        | Two Year       | Low / Two Year        |  699 |       5 |           0.72 |                    1362.00 |                              1453.20 |                  9 |                   9 |                0 |                           0.11 |                 0.03 |                21.23 | reportable     |           1
 all_customers    | Mid        | Month-to-Month | Mid / Month-to-Month  | 1663 |     797 |          47.93 |                  682805.40 |                            230990.76 |                  2 |                   1 |                1 |                          40.90 |                 1.81 |                26.54 | reportable     |           2
 all_customers    | High       | Month-to-Month | High / Month-to-Month | 1000 |     573 |          57.30 |                  660796.80 |                            176191.20 |                  1 |                   2 |               -1 |                          39.58 |                 2.16 |                26.54 | reportable     |           2
 all_customers    | High       | One Year       | High / One Year       |  522 |     100 |          19.16 |                  123038.40 |                             30912.60 |                  4 |                   3 |                1 |                           7.37 |                 0.72 |                26.54 | reportable     |           2
 all_customers    | Low        | Month-to-Month | Low / Month-to-Month  |  947 |     285 |          30.10 |                  106563.00 |                             50147.88 |                  3 |                   4 |               -1 |                           6.38 |                 1.13 |                26.54 | reportable     |           2
 all_customers    | Mid        | One Year       | Mid / One Year        |  566 |      49 |           8.66 |                   40378.20 |                             14266.08 |                  5 |                   5 |                0 |                           2.42 |                 0.33 |                26.54 | reportable     |           2
 all_customers    | High       | Two Year       | High / Two Year       |  590 |      31 |           5.25 |                   39097.20 |                              9878.76 |                  6 |                   6 |                0 |                           2.34 |                 0.20 |                26.54 | reportable     |           2
 all_customers    | Mid        | Two Year       | Mid / Two Year        |  587 |      12 |           2.04 |                    9524.40 |                              3422.52 |                  8 |                   7 |                1 |                           0.57 |                 0.08 |                26.54 | reportable     |           2
 all_customers    | Low        | One Year       | Low / One Year        |  462 |      17 |           3.68 |                    6004.80 |                              2340.72 |                  7 |                   8 |               -1 |                           0.36 |                 0.14 |                26.54 | reportable     |           2
 all_customers    | Low        | Two Year       | Low / Two Year        |  706 |       5 |           0.71 |                    1362.00 |                              1453.20 |                  9 |                   9 |                0 |                           0.08 |                 0.03 |                26.54 | reportable     |           2
(18 rows)

