# chart=CH-03,source=analyse_02_revenue_concentration.txt,block=1
revenue_decile,customers,charge_min,charge_max,arr_currency_units,customer_share_pct,revenue_share_pct,cumulative_customer_pct,cumulative_revenue_pct
10,704,102.65,118.75,914656.20,10.00,16.71,10.00,16.71
9,704,94.30,102.60,828311.40,10.00,15.13,19.99,31.84
8,704,85.50,94.25,759075.00,10.00,13.87,29.99,45.71
7,704,79.10,85.50,693996.00,10.00,12.68,39.98,58.39
6,704,70.35,79.10,630527.40,10.00,11.52,49.98,69.91
5,704,58.90,70.35,551996.40,10.00,10.09,59.97,80.00
4,704,45.90,58.85,444104.40,10.00,8.11,69.97,88.11
3,705,25.05,45.85,300828.60,10.01,5.50,79.98,93.61
2,705,20.05,25.05,183897.60,10.01,3.36,89.99,96.97
1,705,18.25,20.05,166006.20,10.01,3.03,100.00,100.00
