customer_account,customer_name,customer_segment,region,postcode_district,primary_warehouse_code,account_opened_date,credit_limit_gbp,account_status
C1001,Selwood Latimer Ltd,Counter Trade,Yorkshire,WA3,WAR,2016-05-20,10000.0,Active
C1004,Ferrers Ollerton Maintenance Ltd,Counter Trade,Scotland,AB12,LIV,2020-03-27,120000.0,Active
C1007,J R Duncombe Plumbing & Heating Ltd,Contractor,West Midlands,LE3,DAV,2021-06-26,10000.0,Active
C1010,Selwood Trentham Maintenance Ltd,Contractor,North East,PR2,WAR,2014-12-01,10000.0,Active
C1011,Ferrers Crowther Group Ltd,Contractor,West Midlands,NG7,DAV,2021-09-03,75000.0,Active
C1013,Mowbray J R Maintenance Ltd,Builders' Merchant,East Midlands,NG7,DAV,2017-12-16,35000.0,Active
C1015,Duncombe Bexley Ltd,Contractor,East of England,LE3,DAV,2014-05-17,75000.0,Active
C1017,Whitmore Ferrers Services Ltd,Housebuilder,Yorkshire,BL4,WAR,2021-05-10,15000.0,Active
C1019,Ferrers Selwood Ltd,Counter Trade,South West,TA6,BRS,2012-03-01,25000.0,Active
C1021,Whitmore Fenwick Ltd,Contractor,East of England,PE1,DAV,2012-12-14,10000.0,Active
C1022,Barrowby Bexley Services Ltd,Contractor,Scotland,KY11,LIV,2013-04-10,120000.0,Active
C1024,Rannoch Penhale Plumbing & Heating Ltd,Contractor,Scotland,KY11,LIV,2015-12-01,15000.0,Active
C1026,Whitmore Aldridge Ltd,Counter Trade,Yorkshire,M12,WAR,2015-08-07,25000.0,Active
C1029,Cheveley Trentham Contracts Ltd,Contractor,Scotland,PA3,LIV,2014-09-27,75000.0,Active
C1032,Aldridge Aldridge Contracts Ltd,Contractor,North East,M12,WAR,2013-05-01,35000.0,On hold
C1033,Duncombe Penhale Services Ltd,Housebuilder,Scotland,AB12,LIV,2018-08-26,10000.0,Active
C1034,Barrowby Bexley Contracts Ltd,Contractor,Yorkshire,M12,WAR,2021-06-12,5000.0,Active
C1035,Kirkby Duncombe Plumbing & Heating Ltd,Contractor,East of England,PE1,DAV,2020-08-01,25000.0,Active
C1038,Fenwick Whitmore Group Ltd,Counter Trade,Scotland,G52,LIV,2022-10-07,50000.0,Active
C1040,Whitmore Mowbray Group Ltd,Contractor,Wales,BS2,BRS,2023-06-23,25000.0,Active
C1042,Latimer Fenwick Ltd,Builders' Merchant,East of England,NN11,DAV,2017-03-03,75000.0,Active
C1044,Whitmore Mowbray Group Ltd,Contractor,South West,GL1,BRS,2023-08-22,25000.0,Active
C1046,Cheveley Mowbray Services Ltd,Contractor,South West,EX4,BRS,2018-02-02,75000.0,Active
C1047,Salford Kirkby Group Ltd,Contractor,North East,CH5,WAR,2020-04-16,25000.0,Active
C1050,Bexley Rannoch Plumbing & Heating Ltd,Contractor,East Midlands,CB4,DAV,2023-05-05,15000.0,Active
C1051,Duncombe Penhale Ltd,Contractor,North West,WA5,WAR,2021-02-16,15000.0,Active
C1052,Trentham Aldridge Plumbing & Heating Ltd,Counter Trade,East of England,LE3,DAV,2021-06-11,120000.0,Active
C1055,Aldridge Fenwick Ltd,Facilities Management,North West,NE11,WAR,2021-09-27,75000.0,Active
C1056,Salford Mowbray Ltd,Facilities Management,East of England,CV1,DAV,2019-06-29,10000.0,Active
