receipt_reference,line_number,purchase_order_number,purchase_order_line_number,warehouse_code,receipt_date,quantity_received,quantity_rejected
GRN-2024-00001,1,PO-2024-00002,12,DAV,2024-01-05,36,0
GRN-2024-00002,1,PO-2024-00002,1,DAV,2024-01-10,5,0
GRN-2024-00003,1,PO-2024-00002,2,DAV,2024-01-10,11,0
GRN-2024-00004,1,PO-2024-00002,3,DAV,2024-01-10,6,0
GRN-2024-00005,1,PO-2024-00002,4,DAV,2024-01-10,3,0
GRN-2024-00006,1,PO-2024-00002,5,DAV,2024-01-10,3,0
GRN-2024-00007,1,PO-2024-00002,6,DAV,2024-01-10,18,0
GRN-2024-00008,1,PO-2024-00002,8,DAV,2024-01-10,6,0
GRN-2024-00009,1,PO-2024-00002,9,DAV,2024-01-10,6,0
GRN-2024-00010,1,PO-2024-00002,10,DAV,2024-01-10,6,0
GRN-2024-00011,1,PO-2024-00002,11,DAV,2024-01-10,36,0
GRN-2024-00012,1,PO-2024-00005,1,DAV,2024-01-10,19,0
GRN-2024-00013,1,PO-2024-00005,2,DAV,2024-01-10,7,0
GRN-2024-00014,1,PO-2024-00005,3,DAV,2024-01-10,161,1
GRN-2024-00015,1,PO-2024-00005,4,DAV,2024-01-10,33,0
GRN-2024-00016,1,PO-2024-00009,1,DAV,2024-01-10,8,0
GRN-2024-00017,1,PO-2024-00009,2,DAV,2024-01-10,9,0
GRN-2024-00018,1,PO-2024-00010,1,DAV,2024-01-10,6,0
GRN-2024-00019,1,PO-2024-00010,2,DAV,2024-01-10,36,0
GRN-2024-00020,1,PO-2024-00010,3,DAV,2024-01-10,15,0
GRN-2024-00021,1,PO-2024-00011,1,DAV,2024-01-10,6,0
GRN-2024-00022,1,PO-2024-00011,2,DAV,2024-01-10,145,0
GRN-2024-00023,1,PO-2024-00012,1,DAV,2024-01-10,24,0
GRN-2024-00024,1,PO-2024-00015,2,WAR,2024-01-10,152,0
GRN-2024-00025,1,PO-2024-00015,3,WAR,2024-01-10,21,0
GRN-2024-00026,1,PO-2024-00015,4,WAR,2024-01-10,25,0
GRN-2024-00027,1,PO-2024-00019,1,LIV,2024-01-10,239,1
GRN-2024-00028,1,PO-2024-00019,2,LIV,2024-01-10,13,0
GRN-2024-00029,1,PO-2024-00022,1,DAV,2024-01-11,36,0
GRN-2024-00030,1,PO-2024-00022,2,DAV,2024-01-11,179,1
GRN-2024-00031,1,PO-2024-00022,3,DAV,2024-01-11,54,0
GRN-2024-00032,1,PO-2024-00022,4,DAV,2024-01-11,15,0
GRN-2024-00033,1,PO-2024-00026,1,DAV,2024-01-11,41,1
GRN-2024-00034,1,PO-2024-00002,7,DAV,2024-01-12,54,0
GRN-2024-00035,1,PO-2024-00015,1,WAR,2024-01-12,208,0
GRN-2024-00036,1,PO-2024-00024,1,DAV,2024-01-12,2,0
GRN-2024-00037,1,PO-2024-00024,2,DAV,2024-01-12,5,0
GRN-2024-00038,1,PO-2024-00024,3,DAV,2024-01-12,79,1
GRN-2024-00039,1,PO-2024-00024,4,DAV,2024-01-12,46,0
GRN-2024-00040,1,PO-2024-00028,1,WAR,2024-01-12,44,0
GRN-2024-00041,1,PO-2024-00031,1,DAV,2024-01-15,54,0
GRN-2024-00042,1,PO-2024-00031,2,DAV,2024-01-15,149,1
GRN-2024-00043,1,PO-2024-00031,3,DAV,2024-01-15,52,0
GRN-2024-00044,1,PO-2024-00034,1,WAR,2024-01-15,65,1
GRN-2024-00045,1,PO-2024-00034,2,WAR,2024-01-15,45,0
GRN-2024-00046,1,PO-2024-00034,3,WAR,2024-01-15,168,0
GRN-2024-00047,1,PO-2024-00034,4,WAR,2024-01-15,40,0
GRN-2024-00048,1,PO-2024-00036,1,LIV,2024-01-15,272,0
GRN-2024-00049,1,PO-2024-00042,4,WAR,2024-01-15,10,0
GRN-2024-00050,1,PO-2024-00037,1,DAV,2024-01-16,5,0
GRN-2024-00051,1,PO-2024-00037,2,DAV,2024-01-16,25,0
GRN-2024-00052,1,PO-2024-00037,3,DAV,2024-01-16,5,0
GRN-2024-00053,1,PO-2024-00037,4,DAV,2024-01-16,11,1
GRN-2024-00054,1,PO-2024-00038,1,DAV,2024-01-16,3,0
GRN-2024-00055,1,PO-2024-00038,2,DAV,2024-01-16,15,0
GRN-2024-00056,1,PO-2024-00038,3,DAV,2024-01-16,144,1
GRN-2024-00057,1,PO-2024-00038,4,DAV,2024-01-16,5,0
GRN-2024-00058,1,PO-2024-00041,1,WAR,2024-01-16,2,0
GRN-2024-00059,1,PO-2024-00041,2,WAR,2024-01-16,598,2
GRN-2024-00060,1,PO-2024-00041,3,WAR,2024-01-16,16,0
GRN-2024-00061,1,PO-2024-00042,1,WAR,2024-01-16,42,0
GRN-2024-00062,1,PO-2024-00042,2,WAR,2024-01-16,152,0
GRN-2024-00063,1,PO-2024-00042,3,WAR,2024-01-16,54,0
GRN-2024-00064,1,PO-2024-00046,1,DAV,2024-01-16,4,0
GRN-2024-00065,1,PO-2024-00001,1,DAV,2024-01-17,5,0
GRN-2024-00066,1,PO-2024-00031,4,DAV,2024-01-17,17,0
GRN-2024-00067,1,PO-2024-00044,1,DAV,2024-01-17,5,0
GRN-2024-00068,1,PO-2024-00044,2,DAV,2024-01-17,81,0
GRN-2024-00069,1,PO-2024-00044,3,DAV,2024-01-17,54,0
GRN-2024-00070,1,PO-2024-00044,4,DAV,2024-01-17,6,0
GRN-2024-00071,1,PO-2024-00045,1,DAV,2024-01-17,5,0
GRN-2024-00072,1,PO-2024-00045,2,DAV,2024-01-17,3,0
GRN-2024-00073,1,PO-2024-00045,3,DAV,2024-01-17,151,1
GRN-2024-00074,1,PO-2024-00045,4,DAV,2024-01-17,208,0
GRN-2024-00075,1,PO-2024-00046,2,DAV,2024-01-17,171,0
GRN-2024-00076,1,PO-2024-00048,1,DAV,2024-01-17,37,0
GRN-2024-00077,1,PO-2024-00048,2,DAV,2024-01-17,111,1
GRN-2024-00078,1,PO-2024-00048,3,DAV,2024-01-17,24,0
GRN-2024-00079,1,PO-2024-00048,4,DAV,2024-01-17,8,0
GRN-2024-00080,1,PO-2024-00049,1,WAR,2024-01-17,76,0
GRN-2024-00081,1,PO-2024-00049,2,WAR,2024-01-17,69,0
GRN-2024-00082,1,PO-2024-00003,4,DAV,2024-01-18,2,0
GRN-2024-00083,1,PO-2024-00041,4,WAR,2024-01-18,36,0
GRN-2024-00084,1,PO-2024-00050,1,DAV,2024-01-18,54,0
GRN-2024-00085,1,PO-2024-00004,4,DAV,2024-01-19,70,0
GRN-2024-00086,1,PO-2024-00001,2,DAV,2024-01-22,15,0
GRN-2024-00087,1,PO-2024-00003,1,DAV,2024-01-22,5,0
GRN-2024-00088,1,PO-2024-00003,2,DAV,2024-01-22,24,0
GRN-2024-00089,1,PO-2024-00003,3,DAV,2024-01-22,68,0
GRN-2024-00090,1,PO-2024-00004,1,DAV,2024-01-22,8,0
GRN-2024-00091,1,PO-2024-00004,2,DAV,2024-01-22,42,0
GRN-2024-00092,1,PO-2024-00004,3,DAV,2024-01-22,209,1
GRN-2024-00093,1,PO-2024-00006,1,DAV,2024-01-22,3,0
GRN-2024-00094,1,PO-2024-00006,2,DAV,2024-01-22,12,0
GRN-2024-00095,1,PO-2024-00006,4,DAV,2024-01-22,7,0
GRN-2024-00096,1,PO-2024-00016,1,WAR,2024-01-22,29,0
GRN-2024-00097,1,PO-2024-00017,1,LIV,2024-01-22,20,0
GRN-2024-00098,1,PO-2024-00026,2,DAV,2024-01-22,52,2
GRN-2024-00099,1,PO-2024-00039,3,DAV,2024-01-22,8,0
GRN-2024-00100,1,PO-2024-00056,1,WAR,2024-01-22,47,0
GRN-2024-00101,1,PO-2024-00056,3,WAR,2024-01-22,337,1
GRN-2024-00102,1,PO-2024-00020,1,DAV,2024-01-23,7,0
GRN-2024-00103,1,PO-2024-00020,2,DAV,2024-01-23,36,0
GRN-2024-00104,1,PO-2024-00020,3,DAV,2024-01-23,111,1
GRN-2024-00105,1,PO-2024-00021,2,DAV,2024-01-23,60,0
GRN-2024-00106,1,PO-2024-00023,1,WAR,2024-01-23,130,0
GRN-2024-00107,1,PO-2024-00039,4,DAV,2024-01-23,41,0
GRN-2024-00108,1,PO-2024-00058,1,DAV,2024-01-23,14,0
GRN-2024-00109,1,PO-2024-00058,2,DAV,2024-01-23,7,0
GRN-2024-00110,1,PO-2024-00058,3,DAV,2024-01-23,45,0
GRN-2024-00111,1,PO-2024-00058,4,DAV,2024-01-23,21,0
GRN-2024-00112,1,PO-2024-00060,1,DAV,2024-01-23,231,1
GRN-2024-00113,1,PO-2024-00061,1,WAR,2024-01-23,15,0
GRN-2024-00114,1,PO-2024-00013,2,DAV,2024-01-24,791,4
GRN-2024-00115,1,PO-2024-00013,4,DAV,2024-01-24,105,0
GRN-2024-00116,1,PO-2024-00024,1,DAV,2024-01-24,3,0
GRN-2024-00117,1,PO-2024-00028,1,WAR,2024-01-24,12,0
GRN-2024-00118,1,PO-2024-00055,3,WAR,2024-01-24,90,1
GRN-2024-00119,1,PO-2024-00064,1,WAR,2024-01-24,5,0
GRN-2024-00120,1,PO-2024-00064,2,WAR,2024-01-24,28,1
GRN-2024-00121,1,PO-2024-00064,3,WAR,2024-01-24,8,0
GRN-2024-00122,1,PO-2024-00021,1,DAV,2024-01-25,46,0
GRN-2024-00123,1,PO-2024-00030,1,DAV,2024-01-25,6,0
GRN-2024-00124,1,PO-2024-00032,1,DAV,2024-01-25,65,3
GRN-2024-00125,1,PO-2024-00056,2,WAR,2024-01-25,156,0
GRN-2024-00126,1,PO-2024-00057,3,WAR,2024-01-25,24,1
GRN-2024-00127,1,PO-2024-00065,1,DAV,2024-01-25,96,0
GRN-2024-00128,1,PO-2024-00065,2,DAV,2024-01-25,41,0
GRN-2024-00129,1,PO-2024-00065,3,DAV,2024-01-25,510,0
GRN-2024-00130,1,PO-2024-00065,4,DAV,2024-01-25,10,0
GRN-2024-00131,1,PO-2024-00068,1,DAV,2024-01-25,1980,4
GRN-2024-00132,1,PO-2024-00071,1,WAR,2024-01-25,104,0
GRN-2024-00133,1,PO-2024-00039,1,DAV,2024-01-26,54,0
GRN-2024-00134,1,PO-2024-00039,2,DAV,2024-01-26,24,0
GRN-2024-00135,1,PO-2024-00052,2,WAR,2024-01-26,14,0
GRN-2024-00136,1,PO-2024-00053,4,DAV,2024-01-26,112,0
GRN-2024-00137,1,PO-2024-00068,2,DAV,2024-01-26,6,0
GRN-2024-00138,1,PO-2024-00071,2,WAR,2024-01-26,170,1
GRN-2024-00139,1,PO-2024-00075,2,DAV,2024-01-26,6,0
GRN-2024-00140,1,PO-2024-00075,3,DAV,2024-01-26,44,0
GRN-2024-00141,1,PO-2024-00085,2,DAV,2024-01-26,150,0
GRN-2024-00142,1,PO-2024-00087,2,WAR,2024-01-26,260,0
GRN-2024-00143,1,PO-2024-00020,4,DAV,2024-01-29,403,3
GRN-2024-00144,1,PO-2024-00075,1,DAV,2024-01-29,26,0
GRN-2024-00145,1,PO-2024-00075,4,DAV,2024-01-29,4,0
GRN-2024-00146,1,PO-2024-00078,1,DAV,2024-01-29,36,0
