week_ending_date,sku,warehouse_code,quantity_on_hand,quantity_allocated,quantity_on_order,days_at_zero_in_week,weighted_average_cost_gbp,stock_value_gbp
2024-01-07,DRAIN-1005,DAV,43,0,0,0,6.98,300.14
2024-01-07,DRAIN-1009,DAV,23,0,0,0,7.21,165.83
2024-01-07,DRAIN-1016,DAV,45,0,0,0,74.18,3338.1
2024-01-07,DRAIN-1025,DAV,25,0,0,0,59.58,1489.5
2024-01-07,DRAIN-1033,DAV,42,0,0,0,8.73,366.66
2024-01-07,DRAIN-1037,DAV,34,0,0,0,22.77,774.18
2024-01-07,DRAIN-1047,DAV,38,0,0,0,171.94,6533.72
2024-01-07,DRAIN-1051,DAV,37,0,0,0,126.88,4694.56
2024-01-07,DRAIN-1056,DAV,19,0,0,0,23.51,446.69
2024-01-07,DRAIN-1068,DAV,30,0,0,0,9.61,288.3
2024-01-07,DRAIN-1075,DAV,42,0,0,0,61.86,2598.12
2024-01-07,DRAIN-1082,DAV,33,0,0,0,6.12,201.96
2024-01-07,DRAIN-1084,DAV,32,0,0,0,7.45,238.4
2024-01-07,DRAIN-1095,DAV,36,0,0,0,108.22,3895.92
2024-01-07,DRAIN-1098,DAV,24,0,0,0,36.04,864.96
2024-01-07,DRAIN-1106,DAV,58,0,0,0,9.57,555.06
2024-01-07,DRAIN-1113,DAV,51,0,0,0,15.44,787.44
2024-01-07,DRAIN-1122,DAV,26,0,0,0,38.74,1007.24
2024-01-07,DRAIN-1130,DAV,27,4,0,0,57.74,1558.98
2024-01-07,DRAIN-1138,DAV,26,0,0,0,150.19,3904.94
2024-01-07,DRAIN-1145,DAV,26,0,46,0,14.43,375.18
2024-01-07,DRAIN-1148,DAV,18,0,24,0,8.79,158.22
2024-01-07,DRAIN-1158,DAV,41,0,0,0,78.85,3232.85
2024-01-07,DRAIN-1161,DAV,35,0,60,0,7.8,273.0
2024-01-07,DRAIN-1173,DAV,15,0,24,0,188.89,2833.35
2024-01-07,DRAIN-1179,DAV,69,0,0,0,103.21,7121.49
2024-01-07,DRAIN-1186,DAV,32,0,0,0,52.33,1674.56
2024-01-07,DRAIN-1192,DAV,47,0,0,0,115.16,5412.52
2024-01-07,DRAIN-1199,DAV,0,0,24,3,5.51,0.0
2024-01-07,DRAIN-1204,DAV,31,0,42,0,6.89,213.59
2024-01-07,DRAIN-1214,DAV,54,0,0,0,34.98,1888.92
2024-01-07,ELEC-1005,DAV,41,0,0,0,27.54,1129.14
2024-01-07,ELEC-1008,DAV,90,0,0,0,4.45,400.5
2024-01-07,ELEC-1014,DAV,47,0,0,0,2.59,121.73
2024-01-07,ELEC-1025,DAV,37,0,54,0,29.26,1082.62
2024-01-07,ELEC-1031,DAV,36,0,54,0,1.88,67.68
2024-01-07,ELEC-1036,DAV,101,0,0,0,2.3,232.3
2024-01-07,ELEC-1046,DAV,63,0,54,0,50.76,3197.88
2024-01-07,ELEC-1049,DAV,349,20,0,0,34.63,12085.87
2024-01-07,ELEC-1057,DAV,77,0,0,0,4.02,309.54
2024-01-07,ELEC-1067,DAV,86,0,0,0,5.13,441.18
2024-01-07,ELEC-1075,DAV,25,0,54,0,29.04,726.0
2024-01-07,ELEC-1081,DAV,54,0,0,0,14.58,787.32
2024-01-07,ELEC-1088,DAV,174,0,0,0,13.17,2291.58
2024-01-07,ELEC-1094,DAV,139,0,180,0,3.21,446.19
2024-01-07,ELEC-1102,DAV,59,0,0,0,11.43,674.37
2024-01-07,ELEC-1107,DAV,266,0,0,0,2.45,651.7
2024-01-07,ELEC-1117,DAV,92,0,90,0,3.44,316.48
2024-01-07,ELEC-1119,DAV,59,0,0,0,67.3,3970.7
2024-01-07,ELEC-1131,DAV,191,0,0,0,19.89,3798.99
2024-01-07,ELEC-1134,DAV,152,0,0,0,86.85,13201.2
2024-01-07,ELEC-1143,DAV,142,0,0,0,16.37,2324.54
2024-01-07,ELEC-1150,DAV,95,0,0,0,14.96,1421.2
2024-01-07,ELEC-1158,DAV,64,0,0,0,5.07,324.48
2024-01-07,ELEC-1162,DAV,77,0,0,0,23.57,1814.89
2024-01-07,ELEC-1171,DAV,46,0,0,0,48.8,2244.8
2024-01-07,ELEC-1176,DAV,67,0,0,0,13.17,882.39
2024-01-07,ELEC-1184,DAV,157,0,0,0,104.72,16441.04
2024-01-07,ELEC-1194,DAV,44,0,68,0,51.11,2248.84
2024-01-07,ELEC-1197,DAV,82,0,0,0,55.1,4518.2
2024-01-07,ELEC-1204,DAV,62,0,145,0,17.41,1079.42
2024-01-07,ELEC-1214,DAV,203,0,0,0,1.39,282.17
2024-01-07,ELEC-1217,DAV,120,20,210,0,102.94,12352.8
2024-01-07,HEAT-1004,DAV,7,0,0,0,231.44,1620.08
2024-01-07,HEAT-1009,DAV,6,0,5,0,638.29,3829.74
2024-01-07,HEAT-1016,DAV,15,2,0,0,466.42,6996.3
2024-01-07,HEAT-1022,DAV,6,0,0,0,214.65,1287.9
2024-01-07,HEAT-1033,DAV,11,0,0,0,787.62,8663.82
2024-01-07,HEAT-1039,DAV,7,0,0,0,262.13,1834.91
2024-01-07,HEAT-1047,DAV,5,1,0,0,414.49,2072.45
2024-01-07,HEAT-1054,DAV,8,0,0,0,495.75,3966.0
2024-01-07,HEAT-1059,DAV,5,0,5,0,271.46,1357.3
2024-01-07,HEAT-1064,DAV,9,0,0,0,272.89,2456.01
2024-01-07,HEAT-1073,DAV,5,0,7,0,400.95,2004.75
2024-01-07,HEAT-1082,DAV,10,1,15,0,207.45,2074.5
2024-01-07,HEAT-1089,DAV,6,0,0,0,483.18,2899.08
2024-01-07,HEAT-1094,DAV,8,0,0,0,536.95,4295.6
2024-01-07,HEAT-1103,DAV,8,0,0,0,200.33,1602.64
2024-01-07,HEAT-1109,DAV,4,0,5,0,241.23,964.92
2024-01-07,HEAT-1112,DAV,8,0,0,0,309.0,2472.0
2024-01-07,HEAT-1124,DAV,12,1,0,0,652.39,7828.68
2024-01-07,HEAT-1130,DAV,9,0,0,0,662.28,5960.52
2024-01-07,HEAT-1137,DAV,12,0,0,0,603.83,7245.96
2024-01-07,HEAT-1142,DAV,4,0,11,0,436.92,1747.68
2024-01-07,HEAT-1151,DAV,9,0,0,0,631.86,5686.74
2024-01-07,HEAT-1158,DAV,5,0,0,0,1027.64,5138.2
2024-01-07,HEAT-1161,DAV,4,0,6,0,768.41,3073.64
2024-01-07,HEAT-1168,DAV,3,0,5,0,486.32,1458.96
2024-01-07,HEAT-1175,DAV,4,0,5,0,270.44,1081.76
2024-01-07,HEAT-1182,DAV,6,0,0,0,439.54,2637.24
2024-01-07,HEAT-1192,DAV,8,0,7,0,260.16,2081.28
2024-01-07,HEAT-1200,DAV,12,0,0,0,945.17,11342.04
2024-01-07,HEAT-1203,DAV,12,0,0,0,589.06,7068.72
2024-01-07,HEAT-1211,DAV,3,0,8,0,408.03,1224.09
2024-01-07,PIPE-1004,DAV,230,0,0,0,1.61,370.3
2024-01-07,PIPE-1011,DAV,271,0,0,0,0.41,111.11
2024-01-07,PIPE-1017,DAV,810,0,0,0,0.5,405.0
2024-01-07,PIPE-1025,DAV,1531,0,795,0,1.78,2725.18
2024-01-07,PIPE-1029,DAV,341,0,0,0,4.32,1473.12
2024-01-07,PIPE-1038,DAV,541,0,0,0,1.07,578.87
2024-01-07,PIPE-1044,DAV,1221,0,1666,0,11.07,13516.47
2024-01-07,PIPE-1054,DAV,96,0,150,0,0.46,44.16
