sku,product_name,category_code,brand,unit_of_measure,list_price_gbp,standard_cost_gbp,unit_weight_kg,unit_volume_m3,pallet_quantity,shelf_life_months,introduced_date,discontinued_date,hazardous_flag
HEAT-1004,Calorna Expansion Vessel 6kW,HEAT,Calorna,EACH,354.0,228.6,18.067,0.0827,9,,2020-11-02,,False
HEAT-1009,Thermex Flue Kit 15mm,HEAT,Thermex,EACH,938.0,595.6,36.445,0.5365,9,,2016-07-29,,False
HEAT-1016,Thermex Combi Boiler 9kW,HEAT,Thermex,EACH,699.0,476.47,7.06,0.7285,155,,2012-09-22,2025-05-29,False
HEAT-1022,Thermex Combi Boiler 300ml,HEAT,Thermex,EACH,312.0,209.23,19.738,0.8687,46,,2015-06-29,2025-09-19,False
HEAT-1033,Ravenglass System Boiler 24kW,HEAT,Ravenglass,EACH,1239.0,794.74,16.689,0.231,53,,2015-04-27,,False
HEAT-1039,Calorna Unvented Cylinder 125mm,HEAT,Calorna,EACH,373.0,240.54,20.835,0.3099,134,,2022-09-11,,False
HEAT-1047,Ravenglass Expansion Vessel 18kW,HEAT,Ravenglass,EACH,651.0,414.29,22.69,0.7207,103,,2022-11-29,,False
HEAT-1054,Thermex Flue Kit 6kW,HEAT,Thermex,EACH,731.0,496.23,,,161,,2011-05-21,,False
HEAT-1059,Calorna Expansion Vessel 15mm,HEAT,Calorna,EACH,385.0,256.13,28.776,0.5262,82,,2012-11-10,,False
HEAT-1064,Thermex Expansion Vessel 35mm,HEAT,Thermex,EACH,404.0,268.99,5.867,0.882,110,,2023-01-21,2025-05-19,False
HEAT-1073,Calorna Unvented Cylinder 6.0mm2,HEAT,Calorna,EACH,574.0,380.48,45.153,0.0586,14,,2021-03-29,2025-05-22,False
HEAT-1082,Thermex Unvented Cylinder 28mm,HEAT,Thermex,EACH,305.0,195.35,2.374,0.5401,69,,2015-06-06,,False
HEAT-1089,Thermex System Boiler 6kW,HEAT,Thermex,EACH,715.0,482.1,43.667,0.1563,9,,2019-07-02,,False
HEAT-1094,Thermex Expansion Vessel 300ml,HEAT,Thermex,EACH,791.0,523.0,19.581,0.3758,172,,2017-06-24,2025-02-04,False
HEAT-1103,Ravenglass Flue Kit 28mm,HEAT,Ravenglass,EACH,309.0,202.99,14.124,0.1627,152,,2012-07-29,,False
HEAT-1109,Thermex System Boiler 24kW,HEAT,Thermex,EACH,363.0,239.05,38.305,0.435,130,,2020-08-05,,False
HEAT-1112,Calorna Expansion Vessel 125mm,HEAT,Calorna,EACH,478.0,311.76,39.903,0.4596,171,,2014-05-25,,False
HEAT-1124,Ravenglass Expansion Vessel 32kW,HEAT,Ravenglass,EACH,967.0,623.89,38.789,0.4837,171,,2020-09-05,,False
HEAT-1130,Calorna Combi Boiler 22mm,HEAT,Calorna,EACH,1030.0,659.33,9.551,0.5485,169,,2015-01-03,,False
HEAT-1137,Thermex Combi Boiler 300ml,HEAT,Thermex,EACH,884.0,565.43,52.04,0.577,145,,2012-02-13,,False
HEAT-1142,Thermex System Boiler 35mm,HEAT,Thermex,EACH,674.0,445.58,42.252,0.0614,48,,2017-08-22,,False
