sku,supplier_code,is_primary_source,quoted_lead_time_days,minimum_order_quantity,order_multiple,agreed_unit_cost_gbp,price_agreed_date
DRAIN-1005,MERID,False,55,72,12,5.13,2023-05-07
DRAIN-1005,QUEND,True,14,12,1,6.98,2024-02-10
DRAIN-1009,LANGD,True,14,9,1,7.21,2024-04-01
DRAIN-1016,ARDEN,True,7,11,1,87.53,2025-03-01
DRAIN-1016,MERID,False,55,120,20,58.01,2024-04-18
DRAIN-1025,QUEND,True,14,2,1,59.58,2024-03-14
DRAIN-1033,LANGD,True,14,7,1,8.73,2023-02-13
DRAIN-1037,FOXLY,True,7,3,1,22.77,2023-12-08
DRAIN-1047,DERWT,True,7,17,1,171.94,2024-02-09
DRAIN-1051,PENRT,True,14,9,1,126.88,2023-04-06
DRAIN-1056,JARVS,True,14,5,1,23.51,2024-05-02
DRAIN-1068,GRANH,True,7,2,1,9.61,2023-02-28
DRAIN-1075,ARDEN,True,7,5,1,72.99,2025-03-01
DRAIN-1082,ARDEN,True,7,3,1,7.22,2025-03-01
DRAIN-1084,JARVS,True,14,6,1,7.45,2023-03-12
DRAIN-1095,CHARN,True,7,13,1,108.22,2023-05-31
DRAIN-1095,WROXH,False,55,144,24,86.89,2024-03-06
DRAIN-1098,FOXLY,True,7,2,1,36.04,2024-02-09
DRAIN-1098,UPTON,False,55,28,4,29.2,2023-08-27
DRAIN-1106,FOXLY,True,7,12,1,9.57,2023-10-05
DRAIN-1106,MERID,False,55,132,22,7.54,2024-04-06
DRAIN-1113,BRAMW,True,7,10,1,15.44,2023-03-24
DRAIN-1113,MERID,False,55,114,19,11.72,2024-03-21
DRAIN-1122,MARSD,True,14,11,1,38.74,2023-09-13
DRAIN-1130,EASTN,True,7,5,1,57.74,2023-06-02
DRAIN-1138,EASTN,True,7,4,1,150.19,2024-01-07
DRAIN-1145,NEWLY,True,14,18,1,14.43,2023-08-10
DRAIN-1148,RAVNS,True,14,3,1,8.79,2024-04-27
DRAIN-1158,FOXLY,True,7,24,4,78.85,2024-02-07
DRAIN-1158,WROXH,False,55,264,44,60.2,2024-03-31
DRAIN-1161,NEWLY,True,14,24,4,7.8,2023-12-21
DRAIN-1161,VERND,False,55,154,22,5.73,2023-07-13
DRAIN-1173,GRANH,True,7,2,1,188.89,2024-02-14
DRAIN-1179,ARDEN,True,7,30,5,121.79,2025-03-01
DRAIN-1186,MARSD,True,14,3,1,52.33,2023-04-03
DRAIN-1192,BRAMW,True,7,6,1,115.16,2023-07-18
DRAIN-1199,ORMSK,True,14,9,1,5.51,2024-02-08
DRAIN-1204,MERID,False,55,96,16,5.12,2023-09-07
DRAIN-1204,PENRT,True,14,17,1,6.89,2024-02-03
DRAIN-1214,KENTM,True,14,14,1,34.98,2024-02-02
ELEC-1005,JARVS,True,14,17,1,27.54,2023-07-26
ELEC-1008,BRAMW,True,7,63,9,4.45,2023-10-15
ELEC-1008,TANFD,False,55,630,105,3.52,2023-03-24
ELEC-1014,BRAMW,True,7,3,1,2.59,2023-05-18
ELEC-1025,ARDEN,True,7,14,1,34.53,2025-03-01
ELEC-1031,ARDEN,True,7,7,1,2.22,2025-03-01
ELEC-1036,ARDEN,True,7,20,1,2.71,2025-03-01
ELEC-1036,MERID,False,55,259,37,1.79,2024-02-13
ELEC-1046,BEWLY,False,21,19,1,53.2,2024-04-17
ELEC-1046,JARVS,True,14,30,5,50.76,2023-05-24
ELEC-1046,MERID,False,55,196,28,37.48,2023-02-08
ELEC-1049,FOXLY,True,7,78,13,34.63,2024-03-10
ELEC-1049,WROXH,False,55,870,145,26.93,2023-01-14
ELEC-1057,ORMSK,True,14,7,1,4.02,2023-04-26
ELEC-1067,NEWLY,True,14,10,1,5.13,2023-02-17
ELEC-1075,ARDEN,True,7,9,1,34.27,2025-03-01
ELEC-1081,GRANH,True,7,6,1,14.58,2023-09-06
ELEC-1088,HALDN,True,7,35,5,13.17,2023-07-28
ELEC-1088,MERID,False,55,348,58,10.61,2024-01-24
ELEC-1094,KENTM,True,14,72,12,3.21,2023-06-10
ELEC-1094,UPTON,False,55,408,68,2.31,2023-04-03
ELEC-1102,ARDEN,True,7,11,1,13.49,2025-03-01
ELEC-1107,ORMSK,True,14,72,12,2.45,2023-08-27
ELEC-1117,MERID,False,55,224,32,2.53,2023-09-13
ELEC-1117,RAVNS,True,14,36,6,3.44,2024-03-27
ELEC-1119,CHARN,True,7,11,1,67.3,2024-01-03
ELEC-1131,IRWEL,True,14,60,10,19.89,2023-11-26
ELEC-1131,VERND,False,55,378,54,14.71,2024-05-07
ELEC-1134,NEWLY,True,14,56,8,86.85,2023-03-03
ELEC-1143,BRAMW,True,7,28,4,16.37,2024-03-31
ELEC-1143,UPTON,False,55,288,48,12.79,2023-11-06
ELEC-1150,PENRT,True,14,35,5,14.96,2024-02-20
ELEC-1158,LANGD,True,14,17,1,5.07,2024-02-09
ELEC-1162,QUEND,True,14,16,1,23.57,2024-03-30
ELEC-1171,DERWT,True,7,9,1,48.8,2024-03-18
ELEC-1171,UPTON,False,55,112,16,39.74,2023-01-16
ELEC-1176,BRAMW,True,7,4,1,13.17,2024-01-24
