purchase_order_number,supplier_code,warehouse_code,order_date,promised_delivery_date,buyer_name,order_status
PO-2024-00001,IRWEL,DAV,2024-01-02,2024-01-22,R. Deakin,Complete
PO-2024-00002,ARDEN,DAV,2024-01-02,2024-01-11,R. Deakin,Complete
PO-2024-00003,RAVNS,DAV,2024-01-02,2024-01-22,M. Castleford,Complete
PO-2024-00004,PENRT,DAV,2024-01-02,2024-01-22,T. Harrowby,Part received
PO-2024-00005,EASTN,DAV,2024-01-02,2024-01-11,T. Harrowby,Part received
PO-2024-00006,KENTM,DAV,2024-01-02,2024-01-22,M. Castleford,Complete
PO-2024-00007,KELSO,DAV,2024-01-02,2024-01-31,S. Nkemelu,Complete
PO-2024-00008,MERID,DAV,2024-01-02,2024-03-19,S. Nkemelu,Part received
PO-2024-00009,BRAMW,DAV,2024-01-02,,S. Nkemelu,Complete
PO-2024-00010,CHARN,DAV,2024-01-02,2024-01-11,A. Whitcombe,Complete
PO-2024-00011,HALDN,DAV,2024-01-02,2024-01-11,R. Deakin,Complete
PO-2024-00012,GRANH,DAV,2024-01-02,2024-01-11,R. Deakin,Complete
PO-2024-00013,ORMSK,DAV,2024-01-02,2024-01-22,M. Castleford,Part received
PO-2024-00014,MERID,WAR,2024-01-02,2024-03-19,R. Deakin,Part received
PO-2024-00015,ARDEN,WAR,2024-01-02,2024-01-11,T. Harrowby,Complete
PO-2024-00016,KENTM,WAR,2024-01-02,2024-01-22,R. Deakin,Complete
PO-2024-00017,IRWEL,LIV,2024-01-02,2024-01-22,T. Harrowby,Complete
PO-2024-00018,MERID,LIV,2024-01-02,2024-03-19,S. Nkemelu,Part received
PO-2024-00019,ARDEN,LIV,2024-01-02,2024-01-11,R. Deakin,Part received
PO-2024-00020,MARSD,DAV,2024-01-03,2024-01-23,A. Whitcombe,Part received
PO-2024-00021,NEWLY,DAV,2024-01-03,2024-01-23,S. Nkemelu,Complete
PO-2024-00022,ARDEN,DAV,2024-01-03,2024-01-12,R. Deakin,Part received
PO-2024-00023,IRWEL,WAR,2024-01-03,2024-01-23,T. Harrowby,Complete
PO-2024-00024,ARDEN,DAV,2024-01-04,2024-01-15,S. Nkemelu,Part received
PO-2024-00025,DUNKD,DAV,2024-01-04,2024-02-02,A. Whitcombe,Complete
PO-2024-00026,BEWLY,DAV,2024-01-04,2024-02-02,T. Harrowby,Part received
PO-2024-00027,KELSO,DAV,2024-01-04,2024-02-02,A. Whitcombe,Complete
PO-2024-00028,HALDN,WAR,2024-01-04,2024-01-15,S. Nkemelu,Complete
PO-2024-00029,UPTON,LIV,2024-01-04,2024-03-21,R. Deakin,Part received
