purchase_order_number,line_number,sku,quantity_ordered,unit_cost_gbp,line_status
PO-2024-00001,1,HEAT-1059,5,274.88,Received in full
PO-2024-00001,2,HEAT-1082,15,205.13,Received in full
PO-2024-00002,1,HEAT-1109,5,238.41,Received in full
PO-2024-00002,2,HEAT-1142,11,431.31,Received in full
PO-2024-00002,3,HEAT-1161,6,778.55,Received in full
PO-2024-00002,4,RENW-1068,3,2822.91,Received in full
PO-2024-00002,5,RENW-1070,3,983.35,Received in full
PO-2024-00002,6,RENW-1087,18,1020.88,Received in full
PO-2024-00002,7,ELEC-1025,54,29.27,Received in full
PO-2024-00002,8,VENT-1080,6,81.98,Received in full
PO-2024-00002,9,VENT-1185,6,70.8,Received in full
PO-2024-00002,10,VENT-1192,6,501.83,Received in full
PO-2024-00002,11,TOOL-1124,36,21.71,Received in full
PO-2024-00002,12,TOOL-1171,36,16.65,Received in full
PO-2024-00003,1,HEAT-1175,5,272.98,Received in full
PO-2024-00003,2,DRAIN-1148,24,8.82,Received in full
PO-2024-00003,3,ELEC-1117,90,3.47,Received in full
PO-2024-00003,4,HEAT-1009,5,644.95,Received in full
PO-2024-00004,1,HEAT-1211,8,406.53,Received in full
PO-2024-00004,2,DRAIN-1204,42,6.81,Received in full
PO-2024-00004,3,ELEC-1217,210,102.07,Part received
PO-2024-00004,4,TOOL-1092,70,30.48,Received in full
PO-2024-00005,1,RENW-1000,19,1681.01,Received in full
PO-2024-00005,2,RENW-1010,7,2831.36,Received in full
PO-2024-00005,3,PIPE-1070,162,13.11,Part received
PO-2024-00005,4,VALV-1056,33,24.48,Received in full
PO-2024-00006,1,RENW-1081,3,2063.76,Received in full
PO-2024-00006,2,VENT-1043,12,47.38,Received in full
PO-2024-00006,3,ELEC-1094,180,3.2,Received in full
PO-2024-00006,4,HEAT-1192,7,260.49,Received in full
PO-2024-00007,1,VALV-1080,22,130.11,Received in full
PO-2024-00007,2,VALV-1140,15,19.19,Received in full
PO-2024-00007,3,VALV-1052,15,11.49,Received in full
PO-2024-00007,4,VALV-1152,27,9.22,Received in full
PO-2024-00008,1,VALV-1154,28,47.53,Part received
PO-2024-00008,2,TOOL-1071,364,2.79,Part received
PO-2024-00008,3,PIPE-1175,160,0.28,Part received
PO-2024-00008,4,PIPE-1044,1666,11.02,Part received
PO-2024-00009,1,VENT-1066,8,42.66,Received in full
PO-2024-00009,2,VENT-1199,9,66.01,Received in full
PO-2024-00010,1,VENT-1075,6,180.49,Received in full
PO-2024-00010,2,TOOL-1201,36,11.71,Received in full
PO-2024-00010,3,VALV-1024,15,117.38,Received in full
PO-2024-00011,1,VENT-1161,6,348.88,Received in full
PO-2024-00011,2,ELEC-1204,145,17.25,Received in full
PO-2024-00012,1,DRAIN-1173,24,190.86,Received in full
PO-2024-00013,1,DRAIN-1199,24,5.51,Received in full
PO-2024-00013,2,PIPE-1025,795,2.33,Part received
PO-2024-00013,3,RENW-1134,3,697.14,Received in full
PO-2024-00013,4,TOOL-1077,105,2.6,Received in full
PO-2024-00014,1,PIPE-1044,1666,11.03,Part received
PO-2024-00014,2,VALV-1056,78,19.03,Part received
PO-2024-00014,3,TOOL-1144,90,1.04,Part received
PO-2024-00014,4,PIPE-1025,2079,1.76,Part received
PO-2024-00015,1,PIPE-1004,208,1.62,Received in full
PO-2024-00015,2,PIPE-1214,152,0.42,Received in full
PO-2024-00015,3,RENW-1087,21,1012.54,Received in full
PO-2024-00015,4,VALV-1007,25,11.53,Received in full
PO-2024-00016,1,DRAIN-1214,29,35.26,Received in full
PO-2024-00017,1,HEAT-1082,20,208.16,Received in full
PO-2024-00018,1,VALV-1084,84,80.75,Received in full
PO-2024-00018,2,TOOL-1110,144,16.12,Part received
PO-2024-00018,3,TOOL-1092,182,23.04,Part received
PO-2024-00018,4,HEAT-1064,24,218.07,Part received
PO-2024-00019,1,PIPE-1206,240,0.54,Part received
PO-2024-00019,2,HEAT-1130,13,660.84,Received in full
PO-2024-00020,1,HEAT-1073,7,395.33,Received in full
PO-2024-00020,2,TOOL-1155,36,35.57,Received in full
PO-2024-00020,3,TOOL-1067,112,7.4,Part received
PO-2024-00020,4,PIPE-1061,406,2.04,Part received
PO-2024-00021,1,DRAIN-1145,46,14.28,Received in full
PO-2024-00021,2,DRAIN-1161,60,7.8,Received in full
PO-2024-00022,1,TOOL-1003,36,28.71,Received in full
PO-2024-00022,2,PIPE-1135,180,4.07,Part received
PO-2024-00022,3,ELEC-1031,54,1.88,Received in full
PO-2024-00022,4,VALV-1196,15,35.86,Received in full
PO-2024-00023,1,ELEC-1131,130,19.88,Received in full
PO-2024-00024,1,HEAT-1168,5,492.91,Received in full
PO-2024-00024,2,RENW-1105,5,2693.55,Received in full
PO-2024-00024,3,TOOL-1018,80,1.12,Part received
PO-2024-00024,4,TOOL-1163,46,6.78,Received in full
PO-2024-00025,1,VALV-1037,15,33.33,Received in full
PO-2024-00026,1,VALV-1121,42,83.25,Part received
PO-2024-00026,2,ELEC-1046,54,52.74,Part received
PO-2024-00027,1,VALV-1175,15,41.41,Received in full
PO-2024-00027,2,VALV-1014,24,39.0,Received in full
PO-2024-00027,3,VALV-1042,17,12.74,Received in full
PO-2024-00027,4,VALV-1091,43,68.31,Received in full
PO-2024-00028,1,TOOL-1110,56,20.74,Received in full
PO-2024-00029,1,ELEC-1094,408,2.28,Part received
PO-2024-00029,2,PIPE-1017,858,0.5,Part received
PO-2024-00030,1,RENW-1042,6,770.04,Received in full
PO-2024-00031,1,ELEC-1075,54,29.17,Received in full
PO-2024-00031,2,PIPE-1054,150,0.46,Part received
PO-2024-00031,3,TOOL-1137,52,21.32,Received in full
PO-2024-00031,4,VALV-1187,17,11.26,Received in full
PO-2024-00032,1,ELEC-1194,68,50.41,Part received
PO-2024-00033,1,PIPE-1061,990,1.51,Part received
PO-2024-00033,2,PIPE-1168,2118,0.71,Part received
PO-2024-00033,3,TOOL-1092,182,23.16,Part received
PO-2024-00033,4,TOOL-1149,90,2.45,Part received
PO-2024-00034,1,TOOL-1018,66,1.12,Part received
PO-2024-00034,2,TOOL-1137,45,21.25,Received in full
PO-2024-00034,3,PIPE-1206,168,0.54,Received in full
PO-2024-00034,4,TOOL-1163,40,6.71,Received in full
PO-2024-00035,1,VENT-1084,48,30.74,Part received
PO-2024-00035,2,TOOL-1031,147,11.13,Part received
PO-2024-00035,3,PIPE-1150,791,0.29,Part received
PO-2024-00035,4,DRAIN-1095,144,85.72,Received in full
PO-2024-00036,1,PIPE-1064,272,8.27,Received in full
PO-2024-00037,1,HEAT-1047,5,420.58,Received in full
PO-2024-00037,2,DRAIN-1130,25,58.06,Received in full
PO-2024-00037,3,HEAT-1064,8,270.49,Received in full
PO-2024-00037,4,HEAT-1203,12,591.94,Part received
PO-2024-00038,1,RENW-1201,3,1010.62,Received in full
PO-2024-00038,2,VALV-1002,15,50.04,Received in full
PO-2024-00038,3,DRAIN-1179,145,103.51,Part received
PO-2024-00038,4,RENW-1022,5,1212.54,Received in full
PO-2024-00039,1,ELEC-1158,54,5.02,Received in full
PO-2024-00039,2,DRAIN-1009,24,7.22,Received in full
PO-2024-00039,3,VENT-1134,8,47.18,Received in full
PO-2024-00039,4,TOOL-1149,41,3.28,Received in full
