sku,warehouse_code,reorder_point_units,reorder_quantity_units,safety_stock_units,review_method,last_reviewed_date,set_by_buyer,stocked_since
DRAIN-1005,DAV,25,32,13,Min/max,2025-06-28,M. Castleford,2021-02-23
DRAIN-1009,DAV,21,24,13,Manual buyer judgement,2025-03-21,A. Whitcombe,2022-02-18
DRAIN-1016,BRS,12,24,7,Min/max,2025-01-06,R. Deakin,2024-07-01
DRAIN-1016,DAV,23,53,13,Periodic review,2025-11-17,M. Castleford,2013-09-19
DRAIN-1016,LIV,37,67,27,Min/max,2025-06-09,A. Whitcombe,2019-09-02
DRAIN-1016,WAR,17,46,9,Periodic review,2024-11-14,S. Nkemelu,2014-05-12
DRAIN-1025,DAV,16,24,13,Min/max,2023-07-08,T. Harrowby,2022-03-11
DRAIN-1033,DAV,20,24,13,Periodic review,2023-12-31,T. Harrowby,2023-03-17
DRAIN-1037,DAV,16,24,13,Min/max,2025-03-05,A. Whitcombe,2019-10-17
DRAIN-1047,BRS,14,33,7,Periodic review,2025-03-01,T. Harrowby,2024-07-01
DRAIN-1047,DAV,30,81,15,Periodic review,2025-04-24,A. Whitcombe,2018-08-04
DRAIN-1047,LIV,41,100,27,Min/max,2025-08-02,A. Whitcombe,2019-09-02
DRAIN-1047,WAR,22,69,10,Min/max,2025-09-29,T. Harrowby,2018-08-04
DRAIN-1051,DAV,22,24,13,Periodic review,2024-12-16,S. Nkemelu,2011-11-26
DRAIN-1056,DAV,18,24,13,Periodic review,2023-08-02,T. Harrowby,2021-04-26
DRAIN-1068,DAV,15,24,13,Min/max,2025-11-13,S. Nkemelu,2015-12-30
DRAIN-1075,DAV,18,25,13,Min/max,2025-07-31,M. Castleford,2023-06-03
DRAIN-1082,DAV,16,24,13,Manual buyer judgement,2025-09-18,S. Nkemelu,2017-05-29
DRAIN-1084,DAV,19,24,13,Min/max,2024-11-09,A. Whitcombe,2012-09-14
DRAIN-1095,BRS,12,25,7,Min/max,2025-11-18,S. Nkemelu,2024-07-01
DRAIN-1095,DAV,25,62,13,Periodic review,2025-09-13,T. Harrowby,2021-04-05
DRAIN-1095,LIV,38,79,27,Periodic review,2025-06-08,T. Harrowby,2021-04-05
DRAIN-1095,WAR,19,55,9,Periodic review,2025-11-08,R. Deakin,2021-04-05
DRAIN-1098,DAV,16,24,13,Min/max,2025-05-30,S. Nkemelu,2020-10-24
DRAIN-1106,BRS,12,24,7,Min/max,2025-11-24,T. Harrowby,2024-07-01
DRAIN-1106,DAV,23,54,13,Periodic review,2025-01-22,T. Harrowby,2011-03-31
DRAIN-1106,LIV,36,64,27,Periodic review,2025-10-31,R. Deakin,2019-09-02
DRAIN-1106,WAR,18,47,9,Periodic review,2024-11-25,T. Harrowby,2014-05-12
DRAIN-1113,BRS,12,24,7,Min/max,2025-01-16,A. Whitcombe,2024-07-01
DRAIN-1113,DAV,22,47,13,Min/max,2025-03-28,S. Nkemelu,2020-08-21
DRAIN-1113,WAR,17,43,9,Min/max,2023-11-18,T. Harrowby,2020-08-21
DRAIN-1122,DAV,22,24,13,Manual buyer judgement,2025-08-22,S. Nkemelu,2018-10-16
DRAIN-1130,DAV,18,25,13,Periodic review,2025-05-03,A. Whitcombe,2013-02-21
DRAIN-1138,DAV,17,24,13,Periodic review,2024-10-25,S. Nkemelu,2013-07-22
DRAIN-1145,BRS,14,24,7,Min/max,2025-11-26,A. Whitcombe,2024-07-01
DRAIN-1145,DAV,32,46,15,Min/max,2024-03-28,T. Harrowby,2016-03-28
DRAIN-1145,WAR,25,38,11,Min/max,2023-07-08,T. Harrowby,2016-03-28
DRAIN-1148,DAV,16,24,13,Min/max,2025-09-03,M. Castleford,2023-07-20
DRAIN-1158,BRS,17,46,8,Min/max,2024-11-01,R. Deakin,2024-07-01
DRAIN-1158,DAV,37,111,17,Min/max,2025-12-10,A. Whitcombe,2020-10-30
DRAIN-1158,LIV,52,145,31,Periodic review,2023-09-19,T. Harrowby,2020-10-30
DRAIN-1158,WAR,30,99,12,Min/max,2025-10-24,M. Castleford,2020-10-30
DRAIN-1161,BRS,18,24,8,Min/max,2024-12-08,R. Deakin,2024-07-01
DRAIN-1161,DAV,40,60,18,Periodic review,2023-08-22,T. Harrowby,2015-12-23
DRAIN-1161,LIV,52,76,31,Min/max,2025-07-31,S. Nkemelu,2019-09-02
DRAIN-1161,WAR,32,52,13,Min/max,2025-05-12,A. Whitcombe,2015-12-23
DRAIN-1173,DAV,15,24,13,Periodic review,2025-04-25,A. Whitcombe,2017-07-29
DRAIN-1179,BRS,20,55,9,Min/max,2023-12-09,T. Harrowby,2024-07-01
DRAIN-1179,DAV,45,143,19,Min/max,2023-11-27,M. Castleford,2018-09-12
DRAIN-1179,LIV,58,174,33,Manual buyer judgement,2024-04-24,S. Nkemelu,2019-09-02
DRAIN-1179,WAR,34,120,13,Min/max,2024-01-01,T. Harrowby,2018-09-12
DRAIN-1186,DAV,16,24,13,Min/max,2025-11-15,T. Harrowby,2021-07-31
DRAIN-1192,DAV,19,29,13,Min/max,2025-09-15,M. Castleford,2022-10-09
DRAIN-1199,DAV,22,24,13,Manual buyer judgement,2024-07-31,A. Whitcombe,2022-02-09
DRAIN-1204,DAV,30,42,15,Min/max,2025-04-14,A. Whitcombe,2023-05-30
DRAIN-1204,WAR,24,36,11,Periodic review,2025-07-14,A. Whitcombe,2023-05-30
DRAIN-1214,DAV,27,35,14,Min/max,2024-05-17,M. Castleford,2013-07-13
DRAIN-1214,WAR,19,29,9,Periodic review,2025-11-19,T. Harrowby,2014-05-12
ELEC-1005,DAV,40,54,28,Min/max,2025-01-28,S. Nkemelu,2012-03-13
ELEC-1008,BRS,29,71,15,Periodic review,2025-02-20,M. Castleford,2024-07-01
ELEC-1008,DAV,61,165,31,Min/max,2025-04-28,M. Castleford,2014-09-16
ELEC-1008,LIV,84,170,60,Min/max,2025-10-22,M. Castleford,2019-09-02
ELEC-1008,WAR,54,170,24,Min/max,2024-11-18,M. Castleford,2014-09-16
ELEC-1014,DAV,30,54,28,Min/max,2025-01-28,R. Deakin,2017-08-30
ELEC-1025,DAV,37,54,28,Min/max,2025-05-23,M. Castleford,2016-09-02
ELEC-1025,WAR,29,54,20,Periodic review,2024-09-08,T. Harrowby,2016-09-02
ELEC-1031,DAV,33,54,28,Min/max,2025-07-27,T. Harrowby,2015-05-30
ELEC-1036,BRS,27,54,15,Min/max,2024-10-18,T. Harrowby,2024-07-01
ELEC-1036,DAV,42,76,28,Min/max,2024-12-06,T. Harrowby,2017-06-15
ELEC-1036,WAR,31,63,20,Min/max,2025-01-27,A. Whitcombe,2017-06-15
ELEC-1046,DAV,43,54,28,Min/max,2025-05-17,S. Nkemelu,2021-09-28
ELEC-1046,WAR,30,54,20,Periodic review,2025-11-14,T. Harrowby,2021-09-28
ELEC-1049,BRS,49,145,21,Min/max,2025-12-02,T. Harrowby,2024-07-01
ELEC-1049,DAV,110,364,45,Min/max,2025-09-29,T. Harrowby,2018-09-01
ELEC-1049,LIV,149,478,82,Manual buyer judgement,2024-04-23,M. Castleford,2019-09-02
ELEC-1049,WAR,90,326,33,Manual buyer judgement,2025-01-29,R. Deakin,2018-09-01
ELEC-1057,DAV,34,54,28,Manual buyer judgement,2025-07-06,T. Harrowby,2017-03-04
ELEC-1067,DAV,37,54,28,Manual buyer judgement,2024-12-20,S. Nkemelu,2022-03-31
ELEC-1075,DAV,37,54,28,Periodic review,2024-06-30,A. Whitcombe,2011-06-01
ELEC-1081,DAV,33,54,28,Min/max,2024-12-09,A. Whitcombe,2011-09-26
ELEC-1088,BRS,27,57,15,Min/max,2025-04-04,M. Castleford,2024-07-01
ELEC-1088,DAV,53,136,28,Manual buyer judgement,2025-11-15,T. Harrowby,2016-06-07
ELEC-1088,LIV,85,180,60,Periodic review,2025-05-15,T. Harrowby,2019-09-02
ELEC-1088,WAR,42,122,20,Periodic review,2025-09-26,A. Whitcombe,2016-06-07
ELEC-1094,BRS,48,70,21,Periodic review,2024-03-01,T. Harrowby,2024-07-01
ELEC-1094,DAV,106,171,44,Min/max,2025-08-24,M. Castleford,2017-09-18
ELEC-1094,LIV,139,216,78,Min/max,2025-08-26,T. Harrowby,2019-09-02
ELEC-1094,WAR,85,153,32,Min/max,2024-06-27,R. Deakin,2017-09-18
ELEC-1102,DAV,37,54,28,Min/max,2025-08-27,T. Harrowby,2015-02-01
ELEC-1107,BRS,48,71,21,Min/max,2025-08-21,T. Harrowby,2024-07-01
ELEC-1107,DAV,109,177,45,Min/max,2025-06-28,M. Castleford,2013-06-19
ELEC-1107,LIV,141,221,79,Min/max,2025-11-08,S. Nkemelu,2019-09-02
ELEC-1107,WAR,86,154,32,Periodic review,2025-09-10,R. Deakin,2014-05-12
ELEC-1117,BRS,29,54,15,Periodic review,2025-03-04,A. Whitcombe,2024-07-01
ELEC-1117,DAV,62,86,31,Min/max,2023-09-23,T. Harrowby,2019-01-19
ELEC-1117,WAR,48,75,22,Min/max,2024-11-14,T. Harrowby,2019-01-19
ELEC-1119,DAV,37,54,28,Min/max,2025-09-04,R. Deakin,2023-07-14
ELEC-1131,BRS,42,58,19,Min/max,2025-04-08,R. Deakin,2024-07-01
ELEC-1131,DAV,94,147,41,Min/max,2024-01-23,A. Whitcombe,2018-11-09
ELEC-1131,LIV,123,183,72,Min/max,2025-10-08,R. Deakin,2019-09-02
ELEC-1131,WAR,74,127,29,Min/max,2025-03-02,R. Deakin,2018-11-09
ELEC-1134,BRS,34,54,17,Periodic review,2025-10-24,M. Castleford,2024-07-01
ELEC-1134,DAV,76,112,36,Periodic review,2025-05-21,A. Whitcombe,2011-03-09
ELEC-1134,LIV,102,140,63,Min/max,2025-07-07,T. Harrowby,2019-09-02
ELEC-1134,WAR,61,100,26,Min/max,2025-01-30,M. Castleford,2014-05-12
ELEC-1143,BRS,27,54,15,Manual buyer judgement,2023-10-20,T. Harrowby,2024-07-01
ELEC-1143,DAV,49,116,28,Manual buyer judgement,2025-11-24,R. Deakin,2015-11-06
ELEC-1143,LIV,82,152,60,Min/max,2025-06-18,R. Deakin,2019-09-02
ELEC-1143,WAR,38,103,20,Min/max,2025-10-31,T. Harrowby,2015-11-06
ELEC-1150,BRS,28,54,15,Min/max,2025-09-11,T. Harrowby,2024-07-01
ELEC-1150,DAV,61,82,31,Manual buyer judgement,2025-03-04,A. Whitcombe,2016-10-18
ELEC-1150,WAR,47,71,22,Min/max,2025-06-09,M. Castleford,2016-10-18
ELEC-1158,DAV,42,54,28,Periodic review,2025-10-07,S. Nkemelu,2022-06-13
ELEC-1162,DAV,43,54,28,Manual buyer judgement,2024-11-05,S. Nkemelu,2012-06-10
ELEC-1171,DAV,36,54,28,Periodic review,2024-06-07,R. Deakin,2017-12-10
ELEC-1176,DAV,32,54,28,Min/max,2024-11-05,S. Nkemelu,2022-06-06
ELEC-1184,BRS,32,54,16,Periodic review,2024-01-20,T. Harrowby,2024-07-01
ELEC-1184,DAV,73,106,35,Min/max,2024-07-27,T. Harrowby,2019-09-09
ELEC-1184,LIV,98,130,61,Manual buyer judgement,2025-10-17,M. Castleford,2019-09-09
ELEC-1184,WAR,56,91,24,Periodic review,2025-06-23,M. Castleford,2019-09-09
ELEC-1194,DAV,52,67,28,Manual buyer judgement,2024-10-27,R. Deakin,2012-11-09
ELEC-1197,DAV,41,71,28,Periodic review,2023-12-01,T. Harrowby,2018-04-26
ELEC-1197,WAR,31,59,20,Min/max,2025-06-28,T. Harrowby,2018-04-26
ELEC-1204,BRS,27,59,15,Min/max,2025-04-22,T. Harrowby,2024-07-01
ELEC-1204,DAV,55,145,29,Min/max,2025-11-03,S. Nkemelu,2023-04-15
ELEC-1204,LIV,86,186,60,Min/max,2025-07-12,T. Harrowby,2023-04-15
ELEC-1204,WAR,44,128,21,Min/max,2025-11-15,T. Harrowby,2023-04-15
ELEC-1214,BRS,28,64,15,Min/max,2023-08-15,M. Castleford,2024-07-01
ELEC-1214,DAV,61,167,31,Min/max,2023-12-02,M. Castleford,2020-03-30
ELEC-1214,LIV,89,204,60,Min/max,2024-09-08,T. Harrowby,2020-03-30
ELEC-1214,WAR,47,140,22,Min/max,2023-10-26,T. Harrowby,2020-03-30
ELEC-1217,BRS,55,83,23,Min/max,2025-03-08,T. Harrowby,2024-07-01
ELEC-1217,DAV,123,208,48,Min/max,2025-06-30,R. Deakin,2012-11-23
ELEC-1217,LIV,159,262,86,Periodic review,2023-12-03,M. Castleford,2019-09-02
ELEC-1217,WAR,98,182,34,Periodic review,2024-10-30,A. Whitcombe,2014-05-12
HEAT-1004,DAV,4,5,3,Periodic review,2025-08-02,S. Nkemelu,2020-11-02
HEAT-1009,DAV,4,5,3,Min/max,2025-06-11,R. Deakin,2016-07-29
HEAT-1016,BRS,4,6,2,Min/max,2025-11-20,S. Nkemelu,2024-07-01
HEAT-1016,DAV,6,14,3,Min/max,2025-10-29,S. Nkemelu,2012-09-22
HEAT-1016,LIV,11,29,6,Manual buyer judgement,2024-07-18,T. Harrowby,2019-09-02
HEAT-1016,WAR,8,29,3,Min/max,2023-07-09,M. Castleford,2014-05-12
HEAT-1022,DAV,4,6,3,Periodic review,2024-01-11,T. Harrowby,2015-06-29
HEAT-1033,DAV,5,7,3,Min/max,2024-02-04,T. Harrowby,2015-04-27
HEAT-1039,DAV,5,5,3,Min/max,2024-11-15,R. Deakin,2022-09-11
HEAT-1047,DAV,4,5,3,Min/max,2025-10-18,R. Deakin,2022-11-29
HEAT-1054,DAV,4,5,3,Min/max,2025-08-13,A. Whitcombe,2011-05-21
HEAT-1059,DAV,5,5,3,Periodic review,2025-04-08,R. Deakin,2012-11-10
HEAT-1064,BRS,3,5,2,Periodic review,2023-09-15,T. Harrowby,2024-07-01
HEAT-1064,DAV,5,8,3,Periodic review,2024-10-18,A. Whitcombe,2023-01-21
HEAT-1064,LIV,7,8,5,Min/max,2025-03-07,M. Castleford,2023-01-21
HEAT-1064,WAR,3,5,2,Min/max,2025-04-13,R. Deakin,2023-01-21
HEAT-1073,DAV,6,7,3,Min/max,2024-06-21,R. Deakin,2021-03-29
HEAT-1082,BRS,5,7,2,Periodic review,2025-02-09,R. Deakin,2024-07-01
HEAT-1082,DAV,10,15,4,Min/max,2025-11-28,T. Harrowby,2015-06-06
HEAT-1082,LIV,13,20,7,Min/max,2025-09-10,R. Deakin,2019-09-02
HEAT-1082,WAR,8,14,3,Manual buyer judgement,2025-10-25,R. Deakin,2015-06-06
HEAT-1089,DAV,4,5,3,Periodic review,2023-08-08,T. Harrowby,2019-07-02
HEAT-1094,DAV,4,5,3,Min/max,2025-10-27,S. Nkemelu,2017-06-24
HEAT-1103,DAV,5,7,3,Min/max,2025-08-03,S. Nkemelu,2012-07-29
HEAT-1109,DAV,4,5,3,Min/max,2025-01-03,A. Whitcombe,2020-08-05
HEAT-1112,DAV,4,5,3,Manual buyer judgement,2023-09-26,T. Harrowby,2014-05-25
HEAT-1124,BRS,4,5,2,Min/max,2025-04-04,A. Whitcombe,2024-07-01
HEAT-1124,DAV,7,10,3,Min/max,2024-12-27,R. Deakin,2020-09-05
HEAT-1124,WAR,6,8,3,Min/max,2025-01-31,S. Nkemelu,2020-09-05
HEAT-1130,BRS,3,5,2,Min/max,2024-04-21,R. Deakin,2024-07-01
HEAT-1130,DAV,5,10,3,Min/max,2023-07-12,T. Harrowby,2015-01-03
HEAT-1130,LIV,7,13,5,Min/max,2024-02-13,T. Harrowby,2019-09-02
HEAT-1130,WAR,4,8,2,Periodic review,2025-08-14,S. Nkemelu,2015-01-03
HEAT-1137,DAV,6,7,3,Min/max,2025-06-30,M. Castleford,2012-02-13
HEAT-1142,BRS,3,5,2,Min/max,2025-03-21,S. Nkemelu,2024-07-01
HEAT-1142,DAV,5,11,3,Manual buyer judgement,2025-07-19,A. Whitcombe,2017-08-22
HEAT-1142,LIV,7,15,5,Periodic review,2024-05-05,T. Harrowby,2019-09-02
HEAT-1142,WAR,4,10,2,Min/max,2025-06-30,M. Castleford,2017-08-22
HEAT-1151,DAV,6,8,3,Min/max,2024-12-26,R. Deakin,2022-02-18
HEAT-1158,DAV,4,5,3,Manual buyer judgement,2025-08-03,M. Castleford,2014-05-04
HEAT-1161,DAV,4,6,3,Manual buyer judgement,2025-01-21,S. Nkemelu,2019-10-10
HEAT-1168,DAV,4,5,3,Min/max,2025-01-20,S. Nkemelu,2013-05-23
HEAT-1175,DAV,4,5,3,Min/max,2025-07-09,T. Harrowby,2012-07-05
HEAT-1182,DAV,4,5,3,Periodic review,2023-09-07,T. Harrowby,2012-10-08
HEAT-1192,DAV,6,7,3,Min/max,2025-06-03,T. Harrowby,2012-04-15
HEAT-1200,DAV,6,8,3,Periodic review,2024-04-22,T. Harrowby,2012-07-12
HEAT-1200,WAR,5,6,2,Min/max,2025-08-19,R. Deakin,2014-05-12
HEAT-1203,BRS,3,5,2,Min/max,2025-03-25,S. Nkemelu,2024-07-01
HEAT-1203,DAV,6,12,3,Min/max,2025-05-20,S. Nkemelu,2017-10-14
HEAT-1203,LIV,8,15,5,Periodic review,2025-03-15,R. Deakin,2019-09-02
HEAT-1203,WAR,4,11,2,Min/max,2023-09-18,T. Harrowby,2017-10-14
HEAT-1211,BRS,4,5,2,Periodic review,2025-06-06,A. Whitcombe,2024-07-01
HEAT-1211,DAV,6,8,3,Min/max,2023-12-13,T. Harrowby,2016-04-03
HEAT-1211,WAR,5,7,2,Manual buyer judgement,2024-11-02,S. Nkemelu,2016-04-03
PIPE-1004,BRS,75,150,42,Periodic review,2023-11-20,T. Harrowby,2024-07-01
PIPE-1004,DAV,120,241,76,Periodic review,2023-10-30,A. Whitcombe,2017-02-10
