sales_order_number,customer_account,warehouse_code,order_date,requested_delivery_date,despatch_date,order_channel,order_status
SO-2024-00001,C1841,DAV,2024-01-02,2024-01-03,2024-01-03,Telephone,Despatched
SO-2024-00002,C1278,DAV,2024-01-02,2024-01-04,2024-01-02,Telephone,Despatched
SO-2024-00003,C1145,DAV,2024-01-02,2024-01-08,2024-01-02,Telephone,Despatched
SO-2024-00004,C1162,WAR,2024-01-02,2024-01-03,2024-01-02,Account manager,Despatched
SO-2024-00005,C1802,WAR,2024-01-02,2024-01-05,2024-01-03,Telephone,Despatched
SO-2024-00006,C1234,WAR,2024-01-02,2024-01-04,2024-01-02,Account manager,Despatched
SO-2024-00007,C1730,WAR,2024-01-02,2024-01-08,2024-01-02,Web,Despatched
SO-2024-00008,C1702,WAR,2024-01-02,2024-01-05,2024-01-02,Telephone,Despatched
SO-2024-00009,C1168,LIV,2024-01-02,2024-01-03,2024-01-02,Telephone,Despatched
SO-2024-00010,C1085,LIV,2024-01-02,2024-01-03,2024-01-02,Telephone,Despatched
SO-2024-00011,C1685,LIV,2024-01-02,2024-01-03,2024-01-02,Trade counter,Despatched
SO-2024-00012,C1951,LIV,2024-01-02,2024-01-08,2024-01-02,Telephone,Despatched
SO-2024-00013,C1593,DAV,2024-01-03,2024-01-09,2024-01-03,Account manager,Despatched
SO-2024-00014,C1882,DAV,2024-01-03,2024-01-08,2024-01-03,Trade counter,Despatched
SO-2024-00015,C1734,DAV,2024-01-03,2024-01-09,2024-01-03,Account manager,Despatched
SO-2024-00016,C1320,DAV,2024-01-03,2024-01-05,2024-01-04,Telephone,Despatched
SO-2024-00017,C1610,DAV,2024-01-03,2024-01-05,2024-01-03,Trade counter,Despatched
SO-2024-00018,C1901,DAV,2024-01-03,2024-01-05,2024-01-03,Trade counter,Despatched
SO-2024-00019,C1366,DAV,2024-01-03,2024-01-04,2024-01-03,Account manager,Despatched
SO-2024-00020,C1354,DAV,2024-01-03,2024-01-08,2024-01-08,Account manager,Despatched
SO-2024-00021,C1354,DAV,2024-01-03,2024-01-05,2024-01-03,Telephone,Despatched
SO-2024-00022,C1371,DAV,2024-01-03,2024-01-05,2024-01-03,Web,Despatched
