sales_order_number,line_number,sku,quantity_ordered,quantity_despatched,unit_price_gbp,line_discount_pct,line_status
SO-2024-00001,1,PIPE-1201,36,36,16.87,15.86,Despatched in full
SO-2024-00001,2,HEAT-1073,3,3,543.87,5.25,Despatched in full
SO-2024-00001,3,PIPE-1119,25,25,8.32,21.17,Despatched in full
SO-2024-00001,4,RENW-1203,1,1,835.86,22.82,Despatched in full
SO-2024-00001,5,PIPE-1025,60,60,3.0,14.8,Despatched in full
SO-2024-00001,6,TOOL-1003,9,9,40.79,10.73,Despatched in full
SO-2024-00002,1,HEAT-1142,2,2,558.81,17.09,Despatched in full
SO-2024-00002,2,TOOL-1128,8,8,3.72,8.93,Despatched in full
SO-2024-00002,3,DRAIN-1179,13,13,138.63,9.98,Despatched in full
SO-2024-00002,4,TOOL-1071,17,17,4.68,15.08,Despatched in full
SO-2024-00002,5,PIPE-1165,69,69,20.44,6.7,Despatched in full
SO-2024-00003,1,ELEC-1008,12,12,6.1,9.46,Despatched in full
SO-2024-00003,2,RENW-1022,1,1,1588.95,5.7,Despatched in full
SO-2024-00003,3,DRAIN-1199,11,11,6.33,21.91,Despatched in full
SO-2024-00003,4,VALV-1014,4,4,45.04,14.43,Despatched in full
SO-2024-00004,1,VALV-1056,6,6,29.41,20.95,Despatched in full
SO-2024-00004,2,VENT-1214,2,2,179.71,25.74,Despatched in full
SO-2024-00004,3,PIPE-1201,57,57,18.27,8.88,Despatched in full
SO-2024-00004,4,VENT-1095,1,1,199.44,8.93,Despatched in full
SO-2024-00004,5,PIPE-1004,54,54,2.07,23.73,Despatched in full
SO-2024-00005,1,VALV-1192,4,0,43.89,19.12,Cancelled
SO-2024-00005,2,TOOL-1137,41,41,30.21,10.74,Despatched in full
SO-2024-00005,3,TOOL-1067,28,28,9.98,20.12,Despatched in full
SO-2024-00005,4,PIPE-1150,83,83,0.51,12.11,Despatched in full
SO-2024-00006,1,ELEC-1107,23,23,2.98,10.66,Despatched in full
SO-2024-00006,2,PIPE-1119,66,66,9.22,12.71,Despatched in full
SO-2024-00006,3,ELEC-1049,7,7,43.78,9.17,Despatched in full
SO-2024-00007,1,TOOL-1003,14,14,35.91,21.4,Despatched in full
SO-2024-00007,2,ELEC-1094,11,11,3.92,14.46,Despatched in full
SO-2024-00007,3,TOOL-1110,4,4,27.95,19.54,Despatched in full
SO-2024-00007,4,TOOL-1128,11,11,3.12,23.67,Despatched in full
SO-2024-00007,5,TOOL-1021,14,14,2.37,19.02,Despatched in full
SO-2024-00007,6,PIPE-1044,113,113,16.34,24.53,Despatched in full
SO-2024-00007,7,HEAT-1064,2,2,322.39,20.2,Despatched in full
SO-2024-00007,8,DRAIN-1179,8,8,111.25,27.76,Despatched in full
SO-2024-00008,1,VALV-1056,7,7,31.67,14.86,Despatched in full
SO-2024-00008,2,RENW-1000,1,1,2251.32,10.52,Despatched in full
SO-2024-00008,3,PIPE-1070,13,13,18.85,13.55,Despatched in full
SO-2024-00008,4,VALV-1091,5,5,77.89,17.19,Despatched in full
SO-2024-00009,1,ELEC-1214,26,26,1.46,27.14,Despatched in full
SO-2024-00009,2,HEAT-1082,11,11,203.31,33.34,Returned
SO-2024-00009,3,ELEC-1217,39,39,94.94,34.97,Despatched in full
SO-2024-00010,1,TOOL-1128,22,22,3.31,19.0,Despatched in full
SO-2024-00011,1,PIPE-1109,91,91,5.27,7.09,Despatched in full
SO-2024-00012,1,ELEC-1131,24,24,22.08,16.6,Despatched in full
SO-2024-00012,2,DRAIN-1106,4,4,14.65,4.08,Despatched in full
SO-2024-00013,1,TOOL-1128,10,10,2.88,29.64,Despatched in full
SO-2024-00014,1,ELEC-1143,15,15,21.2,8.8,Despatched in full
SO-2024-00014,2,DRAIN-1095,11,11,138.89,16.33,Despatched in full
SO-2024-00014,3,TOOL-1071,16,16,4.49,18.47,Despatched in full
SO-2024-00015,1,PIPE-1168,107,107,1.19,16.82,Despatched in full
SO-2024-00016,1,RENW-1000,1,1,2067.9,17.81,Despatched in full
SO-2024-00016,2,VALV-1175,23,23,48.67,16.91,Despatched in full
SO-2024-00017,1,ELEC-1217,16,16,129.39,11.38,Despatched in full
SO-2024-00017,2,HEAT-1082,2,2,254.74,16.48,Despatched in full
SO-2024-00018,1,DRAIN-1199,6,6,7.22,11.03,Despatched in full
SO-2024-00018,2,ELEC-1008,19,19,6.11,9.4,Despatched in full
SO-2024-00018,3,TOOL-1128,23,23,3.8,7.09,Despatched in full
SO-2024-00018,4,DRAIN-1145,7,7,20.15,9.59,Despatched in full
SO-2024-00018,5,RENW-1100,1,1,904.71,2.51,Despatched in full
SO-2024-00018,6,VENT-1119,1,1,855.14,5.3,Despatched in full
