movement_id,sku,warehouse_code,movement_date,movement_type,quantity,unit_cost_gbp,source_document
1,HEAT-1004,DAV,2024-01-01,Opening balance,7,231.44,OPEN-DAV-2024-01-01
2,HEAT-1009,DAV,2024-01-01,Opening balance,6,638.29,OPEN-DAV-2024-01-01
3,HEAT-1016,DAV,2024-01-01,Opening balance,19,466.42,OPEN-DAV-2024-01-01
4,HEAT-1022,DAV,2024-01-01,Opening balance,6,214.65,OPEN-DAV-2024-01-01
5,HEAT-1033,DAV,2024-01-01,Opening balance,11,787.62,OPEN-DAV-2024-01-01
6,HEAT-1039,DAV,2024-01-01,Opening balance,7,262.13,OPEN-DAV-2024-01-01
7,HEAT-1047,DAV,2024-01-01,Opening balance,6,414.49,OPEN-DAV-2024-01-01
8,HEAT-1054,DAV,2024-01-01,Opening balance,8,495.75,OPEN-DAV-2024-01-01
9,HEAT-1059,DAV,2024-01-01,Opening balance,5,271.46,OPEN-DAV-2024-01-01
10,HEAT-1064,DAV,2024-01-01,Opening balance,10,272.89,OPEN-DAV-2024-01-01
11,HEAT-1073,DAV,2024-01-01,Opening balance,8,400.95,OPEN-DAV-2024-01-01
12,HEAT-1082,DAV,2024-01-01,Opening balance,13,207.45,OPEN-DAV-2024-01-01
13,HEAT-1089,DAV,2024-01-01,Opening balance,6,483.18,OPEN-DAV-2024-01-01
14,HEAT-1094,DAV,2024-01-01,Opening balance,8,536.95,OPEN-DAV-2024-01-01
15,HEAT-1103,DAV,2024-01-01,Opening balance,8,200.33,OPEN-DAV-2024-01-01
16,HEAT-1109,DAV,2024-01-01,Opening balance,4,241.23,OPEN-DAV-2024-01-01
17,HEAT-1112,DAV,2024-01-01,Opening balance,8,309.0,OPEN-DAV-2024-01-01
18,HEAT-1124,DAV,2024-01-01,Opening balance,15,652.39,OPEN-DAV-2024-01-01
19,HEAT-1130,DAV,2024-01-01,Opening balance,9,662.28,OPEN-DAV-2024-01-01
20,HEAT-1137,DAV,2024-01-01,Opening balance,12,603.83,OPEN-DAV-2024-01-01
21,HEAT-1142,DAV,2024-01-01,Opening balance,6,436.92,OPEN-DAV-2024-01-01
22,HEAT-1151,DAV,2024-01-01,Opening balance,9,631.86,OPEN-DAV-2024-01-01
23,HEAT-1158,DAV,2024-01-01,Opening balance,5,1027.64,OPEN-DAV-2024-01-01
24,HEAT-1161,DAV,2024-01-01,Opening balance,4,768.41,OPEN-DAV-2024-01-01
25,HEAT-1168,DAV,2024-01-01,Opening balance,5,486.32,OPEN-DAV-2024-01-01
26,HEAT-1175,DAV,2024-01-01,Opening balance,4,270.44,OPEN-DAV-2024-01-01
27,HEAT-1182,DAV,2024-01-01,Opening balance,6,439.54,OPEN-DAV-2024-01-01
28,HEAT-1192,DAV,2024-01-01,Opening balance,8,260.16,OPEN-DAV-2024-01-01
29,HEAT-1200,DAV,2024-01-01,Opening balance,12,945.17,OPEN-DAV-2024-01-01
30,HEAT-1203,DAV,2024-01-01,Opening balance,13,589.06,OPEN-DAV-2024-01-01
31,HEAT-1211,DAV,2024-01-01,Opening balance,6,408.03,OPEN-DAV-2024-01-01
32,RENW-1000,DAV,2024-01-01,Opening balance,7,1701.45,OPEN-DAV-2024-01-01
33,RENW-1010,DAV,2024-01-01,Opening balance,5,2798.47,OPEN-DAV-2024-01-01
34,RENW-1018,DAV,2024-01-01,Opening balance,5,1803.63,OPEN-DAV-2024-01-01
35,RENW-1022,DAV,2024-01-01,Opening balance,5,1197.73,OPEN-DAV-2024-01-01
36,RENW-1031,DAV,2024-01-01,Opening balance,7,2059.28,OPEN-DAV-2024-01-01
37,RENW-1035,DAV,2024-01-01,Opening balance,12,1420.67,OPEN-DAV-2024-01-01
38,RENW-1042,DAV,2024-01-01,Opening balance,6,780.83,OPEN-DAV-2024-01-01
39,RENW-1053,DAV,2024-01-01,Opening balance,12,2557.73,OPEN-DAV-2024-01-01
40,RENW-1061,DAV,2024-01-01,Opening balance,10,1684.21,OPEN-DAV-2024-01-01
41,RENW-1068,DAV,2024-01-01,Opening balance,3,2820.38,OPEN-DAV-2024-01-01
42,RENW-1070,DAV,2024-01-01,Opening balance,3,989.7,OPEN-DAV-2024-01-01
43,RENW-1081,DAV,2024-01-01,Opening balance,4,2061.85,OPEN-DAV-2024-01-01
44,RENW-1087,DAV,2024-01-01,Opening balance,7,1010.57,OPEN-DAV-2024-01-01
45,RENW-1095,DAV,2024-01-01,Opening balance,5,2144.31,OPEN-DAV-2024-01-01
46,RENW-1100,DAV,2024-01-01,Opening balance,25,657.35,OPEN-DAV-2024-01-01
47,RENW-1105,DAV,2024-01-01,Opening balance,4,2682.07,OPEN-DAV-2024-01-01
48,RENW-1112,DAV,2024-01-01,Opening balance,16,708.97,OPEN-DAV-2024-01-01
49,RENW-1122,DAV,2024-01-01,Opening balance,8,1121.92,OPEN-DAV-2024-01-01
50,RENW-1127,DAV,2024-01-01,Opening balance,5,1234.17,OPEN-DAV-2024-01-01
51,RENW-1134,DAV,2024-01-01,Opening balance,4,693.44,OPEN-DAV-2024-01-01
52,RENW-1145,DAV,2024-01-01,Opening balance,9,2474.9,OPEN-DAV-2024-01-01
53,RENW-1152,DAV,2024-01-01,Opening balance,7,1916.33,OPEN-DAV-2024-01-01
54,RENW-1158,DAV,2024-01-01,Opening balance,5,2811.73,OPEN-DAV-2024-01-01
55,RENW-1161,DAV,2024-01-01,Opening balance,15,695.44,OPEN-DAV-2024-01-01
56,RENW-1171,DAV,2024-01-01,Opening balance,8,720.33,OPEN-DAV-2024-01-01
57,RENW-1180,DAV,2024-01-01,Opening balance,12,1919.53,OPEN-DAV-2024-01-01
58,RENW-1186,DAV,2024-01-01,Opening balance,6,1433.28,OPEN-DAV-2024-01-01
59,RENW-1192,DAV,2024-01-01,Opening balance,11,1172.18,OPEN-DAV-2024-01-01
60,RENW-1201,DAV,2024-01-01,Opening balance,4,996.35,OPEN-DAV-2024-01-01
61,RENW-1203,DAV,2024-01-01,Opening balance,8,766.38,OPEN-DAV-2024-01-01
62,RENW-1212,DAV,2024-01-01,Opening balance,7,1965.92,OPEN-DAV-2024-01-01
63,PIPE-1004,DAV,2024-01-01,Opening balance,230,1.61,OPEN-DAV-2024-01-01
64,PIPE-1011,DAV,2024-01-01,Opening balance,271,0.41,OPEN-DAV-2024-01-01
65,PIPE-1017,DAV,2024-01-01,Opening balance,810,0.5,OPEN-DAV-2024-01-01
66,PIPE-1025,DAV,2024-01-01,Opening balance,1591,1.78,OPEN-DAV-2024-01-01
67,PIPE-1029,DAV,2024-01-01,Opening balance,432,4.32,OPEN-DAV-2024-01-01
68,PIPE-1038,DAV,2024-01-01,Opening balance,541,1.07,OPEN-DAV-2024-01-01
69,PIPE-1044,DAV,2024-01-01,Opening balance,1221,11.07,OPEN-DAV-2024-01-01
70,PIPE-1054,DAV,2024-01-01,Opening balance,96,0.46,OPEN-DAV-2024-01-01
71,PIPE-1061,DAV,2024-01-01,Opening balance,939,1.5,OPEN-DAV-2024-01-01
72,PIPE-1064,DAV,2024-01-01,Opening balance,225,8.19,OPEN-DAV-2024-01-01
73,PIPE-1070,DAV,2024-01-01,Opening balance,138,13.17,OPEN-DAV-2024-01-01
74,PIPE-1079,DAV,2024-01-01,Opening balance,343,0.71,OPEN-DAV-2024-01-01
75,PIPE-1088,DAV,2024-01-01,Opening balance,407,0.27,OPEN-DAV-2024-01-01
76,PIPE-1094,DAV,2024-01-01,Opening balance,320,7.75,OPEN-DAV-2024-01-01
